Libro;Publisher;DOI;Proprietary Identifier;ISBN;ISSN;01-2019;02-2019;03-2019;Archivo;Usuario;Recurso
Nonclinical Study Contracting and Monitoring;Elsevier;; ;978-0-12-397829-5;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Nonhuman Primates in Biomedical Research (Second Edition), Volume 2;Elsevier;; ;978-0-12-381366-4;;0;2;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Numerical Ecology;Elsevier;; ;978-0-444-53868-0;0167-8892;0;3;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Nutrition in the Prevention and Treatment of Disease (Third Edition);Elsevier;; ;978-0-12-391884-0;;0;0;4;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Nuts and Seeds in Health and Disease Prevention;Elsevier;; ;978-0-12-375688-6;;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Obesity Prevention;Elsevier;; ;978-0-12-374387-9;;1;0;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
OCEB Certification Guide;Elsevier;; ;978-0-12-386985-2;;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Olives and Olive Oil in Health and Disease Prevention;Elsevier;; ;978-0-12-374420-3;;9;5;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Omics Technologies and Bio-Engineering;Elsevier;; ;978-0-12-804659-3;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Omics Technologies and Bio-Engineering;Elsevier;; ;978-0-12-815870-8;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Operations Management in Agriculture;Elsevier;; ;978-0-12-809786-1;;4;0;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Operations Research and The Public Sector;Elsevier;; ;978-0-444-89204-1;0927-0507;0;3;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Optical Fiber Telecommunications (Sixth Edition);Elsevier;; ;978-0-12-396960-6;;40;0;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Optimization;Elsevier;; ;978-0-444-87284-5;0927-0507;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Organic Farming;Woodhead Publishing;; ;978-0-12-813272-2;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Orthodontic Applications of Biomaterials;Woodhead Publishing;; ;978-0-08-100383-1;;1;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Orthognathic Surgery;Elsevier;; ;978-1-4557-2698-1;;0;1;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Ortner's Identification of Pathological Conditions in Human Skeletal Remains (Third Edition);Elsevier;; ;978-0-12-809738-0;;0;3;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Ostracoda as Proxies for Quaternary Climate Change;Elsevier;; ;978-0-444-53636-5;1571-0866;36;0;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Oxidative Stability and Shelf Life of Foods Containing Oils and Fats;AOCS Press;; ;978-1-63067-056-6;;0;15;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Pares Craneales. Médula Espinal. Sistema Nervioso Periférico;Elsevier;; ;978-84-458-2038-4;;0;0;2;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Pathology and Intervention in Musculoskeletal Rehabilitation (Second Edition);Elsevier;; ;978-0-323-31072-7;;0;0;6;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Pediatría. Secretos  (Cuarta Edición);Elsevier;; ;978-84-8174-888-8;;0;0;1;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
Pediatric Dentistry (Sixth Edition);Content Repository Only!;; ;978-0-323-60826-8;;0;2;0;CONCYTEC_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Institucion;Libro
