Revista;Publisher;DOI;Proprietary Identifier;Print ISSN;Online ISSN;10-2018;11-2018;12-2018;01-2019;02-2019;03-2019;Archivo;Usuario;Recurso
Gastrointestinal Endoscopy;Elsevier; ;YMGE;0016-5107;1097-6779;0;0;0;2;0;3;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Gene;Elsevier; ;GENE;0378-1119;1879-0038;0;5;0;4;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Global and Planetary Change;Elsevier; ;GLOBAL;0921-8181;;3;0;1;0;5;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Heliyon;Elsevier; ;HLY;2405-8440;;0;2;0;0;2;3;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Ingeniería, Investigación y Tecnología;Elsevier; ;RIIT;1405-7743;;0;1;4;3;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Innovative Food Science & Emerging Technologies;Elsevier; ;INNFOO;1466-8564;;0;0;0;0;2;3;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
International Journal for Parasitology: Parasites and Wildlife;Elsevier; ;IJPPAW;2213-2244;2213-2244;0;2;0;1;2;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
International Journal of Pressure Vessels and Piping;Elsevier; ;IPVP;0308-0161;;0;0;0;0;1;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Jornal de Pediatria;Elsevier; ;JPED;0021-7557;;0;3;5;1;4;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Cardiothoracic and Vascular Anesthesia;Elsevier; ;YJCAN;1053-0770;1532-8422;0;0;0;0;4;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Clinical Neuroscience;Elsevier; ;YJOCN;0967-5868;1532-2653;0;0;0;1;2;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Destination Marketing & Management;Elsevier; ;JDMM;2212-571X;;0;0;0;0;3;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Food and Drug Analysis;Elsevier; ;JFDA;1021-9498;;0;0;6;1;0;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Sound and Vibration;Elsevier; ;YJSVI;0022-460X;1095-8568;0;0;0;0;5;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of South American Earth Sciences;Elsevier; ;SAMES;0895-9811;;1;2;0;0;5;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Marine and Petroleum Geology;Elsevier; ;JMPG;0264-8172;;0;0;0;5;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Mathematical Biosciences;Elsevier; ;MBS;0025-5564;1879-3134;0;0;0;0;3;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Meat Science;Elsevier; ;MESC;0309-1740;;0;0;18;3;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Medicina Clínica (English Edition);Elsevier; ;MEDCLE;2387-0206;;0;4;2;3;1;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Microchemical Journal;Elsevier; ;MICROC;0026-265X;;2;1;2;2;2;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Oceanologia;Elsevier; ;OCEANO;0078-3234;2300-7370;0;3;0;1;0;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Organic Geochemistry;Elsevier; ;OG;0146-6380;;0;0;2;5;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Plant Gene;Elsevier; ;PLGENE;2352-4073;;0;2;0;5;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Public Health;Elsevier; ;PUHE;0033-3506;1476-5616;0;0;0;0;0;5;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Resources Policy;Elsevier; ;JRPO;0301-4207;;0;6;0;5;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Brasileira de Ciências do Esporte;Elsevier; ;RBCE;0101-3289;2179-3255;0;0;0;0;0;5;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Latinoamericana de Cirugía Ortopédica;Elsevier; ;RSLAOT;2444-9725;2444-9725;0;0;0;4;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Mexicana de Oftalmología;Elsevier; ;MEXOFT;0187-4519;0187-4519;0;2;0;4;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Seminars in Cell & Developmental Biology;Elsevier; ;YSCDB;1084-9521;1096-3634;0;0;0;1;0;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Survey of Ophthalmology;Elsevier; ;SOP;0039-6257;1879-3304;0;0;0;5;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Foot;Elsevier; ;YFOOT;0958-2592;1532-2963;0;0;0;5;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Lancet Psychiatry;Elsevier; ;LANPSY;2215-0366;2215-0374;0;0;0;0;0;5;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Thermochimica Acta;Elsevier; ;TCA;0040-6031;;0;0;0;0;0;5;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Transportation Research Part E: Logistics and Transportation Review;Elsevier; ;TRE;1366-5545;;0;0;0;5;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Transportation Research Procedia;Elsevier; ;TRPRO;2352-1465;;0;0;1;5;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Trends in Biotechnology;Elsevier; ;TIBTEC;0167-7799;1879-3096;0;0;0;1;2;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Acta de Investigación Psicológica;Elsevier; ;AIPPRR;2007-4719;;0;0;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Advances in Climate Change Research;Elsevier; ;ACCRE;1674-9278;;0;0;0;0;4;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Aggression and Violent Behavior;Elsevier; ;AVB;1359-1789;1873-6335;0;0;0;0;0;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Alcohol;Elsevier; ;ALC;0741-8329;1873-6823;0;0;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Antiviral Research;Elsevier; ;AVR;0166-3542;1872-9096;0;0;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Arabian Journal of Chemistry;Elsevier; ;ARABJC;1878-5352;;0;1;1;2;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Archivos de Bronconeumología (English Edition);Elsevier; ;ARBR;1579-2129;;0;0;1;3;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Aula Abierta;Elsevier; ;AULA;0210-2773;;0;0;0;1;3;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Basic and Applied Ecology;Elsevier; ;BAAE;1439-1791;1618-0089;0;0;0;0;1;3;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Biochimica et Biophysica Acta (BBA) - Molecular Basis of Disease;Elsevier; ;BBADIS;0925-4439;1879-260X;0;0;0;0;0;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Boletín Médico del Hospital Infantil de México;Elsevier; ;BMHIMX;1665-1146;;0;7;0;2;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
British Journal of Anaesthesia;Elsevier; ;BJA;0007-0912;1471-6771;0;0;0;0;4;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Canadian Journal of Cardiology;Elsevier; ;CJCA;0828-282X;;0;0;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Carbon;Elsevier; ;CARBON;0008-6223;;0;0;2;2;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Chemical Engineering Journal;Elsevier; ;CEJ;1385-8947;;0;0;0;3;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Chemical Geology;Elsevier; ;CHEMGE;0009-2541;;0;0;0;3;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
CIRP Journal of Manufacturing Science and Technology;Elsevier; ;CIRPJ;1755-5817;;0;0;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Cirugía y Cirujanos;Elsevier; ;CIRCIR;0009-7411;2444-054X;0;4;1;3;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Clinical Lung Cancer;Elsevier; ;CLLC;1525-7304;1938-0690;0;0;0;0;0;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Clinical Neurology and Neurosurgery;Elsevier; ;CLINEU;0303-8467;1872-6968;0;12;0;0;2;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Clinical Nutrition;Elsevier; ;YCLNU;0261-5614;1532-1983;0;1;2;3;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Cognitive and Behavioral Practice;Elsevier; ;CBPRA;1077-7229;1878-187X;0;0;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Colombian Journal of Anesthesiology;Elsevier; ;RCAE;2256-2087;;0;0;0;0;4;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Comparative Biochemistry and Physiology Part C: Toxicology & Pharmacology;Elsevier; ;CBC;1532-0456;1878-1659;0;1;1;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Complementary Therapies in Medicine;Elsevier; ;YCTIM;0965-2299;1873-6963;0;0;5;3;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Contemporary Clinical Trials;Elsevier; ;CONCLI;1551-7144;1559-2030;0;0;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Current Biology;Elsevier; ;CURBIO;0960-9822;;5;1;7;1;1;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Current Opinion in Insect Science;Elsevier; ;COIS;2214-5745;2214-5753;0;4;0;0;4;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Ecosystem Services;Elsevier; ;ECOSER;2212-0416;2212-0416;0;0;0;1;3;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
EMC - Kinesiterapia - Medicina Física;Elsevier; ;;1293-2965;;0;0;0;0;4;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Endoscopia;Elsevier; ;ENDOMX;0188-9893;;0;2;2;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Energy Strategy Reviews;Elsevier; ;ESR;2211-467X;;0;3;0;0;4;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Environmental and Experimental Botany;Elsevier; ;EEB;0098-8472;;0;1;0;0;2;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Epilepsy & Behavior;Elsevier; ;YEBEH;1525-5050;1525-5069;0;0;0;2;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Evaluation and Program Planning;Elsevier; ;EPP;0149-7189;;0;0;0;3;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Experimental Gerontology;Elsevier; ;EXG;0531-5565;1873-6815;0;0;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Forensic Science International;Elsevier; ;FSI;0379-0738;1872-6283;0;0;0;0;3;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Immunity;Elsevier; ;IMMUNI;1074-7613;1097-4180;0;0;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Information Sciences;Elsevier; ;INS;0020-0255;;0;0;0;1;0;3;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
International Journal of Medical Microbiology;Elsevier; ;IJMM;1438-4221;1618-0607;0;0;0;2;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
International Journal of Production Economics;Elsevier; ;PROECO;0925-5273;;0;7;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
International Strategic Management Review;Elsevier; ;ISM;2306-7748;2306-7748;0;0;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Investigaciones Europeas de Dirección y Economía de la Empresa;Elsevier; ;IEDEEN;1135-2523;;0;1;0;0;1;3;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
iScience;Elsevier; ;ISCI;2589-0042;;0;0;0;0;0;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Jornal de Pediatria (Versão em Português);Elsevier; ;JPEDP;2255-5536;2255-5536;0;0;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Behavior Therapy and Experimental Psychiatry;Elsevier; ;BTEP;0005-7916;1873-7943;0;0;3;1;3;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Bodywork and Movement Therapies;Elsevier; ;YJBMT;1360-8592;1532-9283;0;2;0;1;0;3;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Clinical & Translational Endocrinology;Elsevier; ;JCTE;2214-6237;2214-6237;0;0;0;2;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Development Economics;Elsevier; ;DEVEC;0304-3878;;0;0;0;3;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Economics, Finance and Administrative Science;Elsevier; ;JEFAS;2077-1886;2218-0648;0;0;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Environmental Sciences;Elsevier; ;JES;1001-0742;1878-7320;0;0;1;0;1;3;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Magnetism and Magnetic Materials;Elsevier; ;MAGMA;0304-8853;;0;0;0;0;4;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Medical Ultrasound;Elsevier; ;JMU;0929-6441;;0;0;0;2;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Molecular Biology;Elsevier; ;YJMBI;0022-2836;1089-8638;0;0;0;0;4;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Science and Medicine in Sport;Elsevier; ;JSAMS;1440-2440;1878-1861;0;0;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Stroke and Cerebrovascular Diseases;Elsevier; ;YJSCD;1052-3057;1532-8511;0;0;0;0;3;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Structural Biology;Elsevier; ;YJSBI;1047-8477;1095-8657;0;0;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Trace Elements in Medicine and Biology;Elsevier; ;JTEMB;0946-672X;1878-3252;0;5;0;3;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Traditional and Complementary Medicine;Elsevier; ;JTCME;2225-4110;;0;18;0;2;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Transport Geography;Elsevier; ;JTRG;0966-6923;;0;0;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Journal of Vocational Behavior;Elsevier; ;YJVBE;0001-8791;;0;0;0;3;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Knowledge-Based Systems;Elsevier; ;KNOSYS;0950-7051;;0;0;0;3;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Latinoamérica. Revista de Estudios Latinoamericanos;Elsevier; ;LAREV;1665-8574;;0;1;0;1;2;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Marine Micropaleontology;Elsevier; ;MARMIC;0377-8398;;0;1;0;0;0;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Materials Science and Engineering: C;Elsevier; ;MSC;0928-4931;1873-0191;0;2;10;2;1;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Materials Today;Elsevier; ;MATTOD;1369-7021;1873-4103;0;0;0;3;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Mycoscience;Elsevier; ;MYC;1340-3540;1618-2545;0;0;0;0;4;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Neurología (English Edition);Elsevier; ;NRLENG;2173-5808;;0;1;4;2;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Nutrition;Elsevier; ;NUT;0899-9007;1873-1244;0;0;0;1;3;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Orthopaedics and Trauma;Elsevier; ;MPORTH;1877-1327;1877-1335;0;5;0;2;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Paediatrics and Child Health;Elsevier; ;PAED;1751-7222;1878-206X;0;1;0;2;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Pedosphere;Elsevier; ;PEDSPH;1002-0160;;0;0;0;0;3;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Physiotherapy;Elsevier; ;PHYST;0031-9406;1873-1465;0;0;0;0;0;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Phytochemistry;Elsevier; ;PHYTO;0031-9422;;0;11;10;0;1;3;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Problemas del Desarrollo;Elsevier; ;RPD;0301-7036;;1;4;4;0;1;3;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Procedia Engineering;Elsevier; ;PROENG;1877-7058;1877-7058;0;1;2;1;3;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Regulatory Toxicology and Pharmacology;Elsevier; ;YRTPH;0273-2300;1096-0295;0;0;4;0;2;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Respiratory Medicine;Elsevier; ;YRMED;0954-6111;1532-3064;0;2;0;2;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Latinoamericana de Psicología;Elsevier; ;RLP;0120-0534;0120-0534;0;0;0;3;0;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Portuguesa de Pneumologia (English Edition);Elsevier; ;PULMOE;2173-5115;;0;0;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Rice Science;Elsevier; ;RSCI;1672-6308;;0;0;0;0;4;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Safety Science;Elsevier; ;SAFETY;0925-7535;1879-1042;0;0;0;1;0;3;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Scandinavian Journal of Management;Elsevier; ;SCAMAN;0956-5221;;0;0;0;0;0;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Seminars in Oncology Nursing;Elsevier; ;YSONU;0749-2081;;0;0;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Teaching and Teacher Education;Elsevier; ;TATE;0742-051X;;0;0;0;0;4;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Egyptian Journal of Aquatic Research;Elsevier; ;EJAR;1687-4285;2090-3278;0;1;1;0;2;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The International Journal of Management Education;Elsevier; ;IJME;1472-8117;;0;0;0;0;4;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
The Journal of Nutritional Biochemistry;Elsevier; ;JNB;0955-2863;1873-4847;0;0;0;0;2;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Theriogenology;Elsevier; ;THE;0093-691X;;0;2;0;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Tourism Management;Elsevier; ;JTMA;0261-5177;;0;0;0;1;1;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Travel Medicine and Infectious Disease;Elsevier; ;TMAID;1477-8939;1873-0442;0;0;3;4;0;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Veterinary Parasitology: Regional Studies and Reports;Elsevier; ;VPRSR;2405-9390;;0;0;0;0;0;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Virus Research;Elsevier; ;VIRUS;0168-1702;1872-7492;0;0;2;0;4;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Acta Ecologica Sinica;Elsevier; ;CHNAES;1872-2032;;0;0;0;0;3;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Acta Materialia;Elsevier; ;AM;1359-6454;;0;0;0;0;3;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Acta Otorrinolaringologica (English Edition);Elsevier; ;OTOENG;2173-5735;2173-5735;0;0;0;0;1;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Addictive Behaviors Reports;Elsevier; ;ABREP;2352-8532;2352-8532;0;0;0;0;3;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Anales de Pediatría (English Edition);Elsevier; ;ANPEDE;2341-2879;;0;0;0;1;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Annals of Emergency Medicine;Elsevier; ;YMEM;0196-0644;1097-6760;0;0;2;1;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Applied Energy;Elsevier; ;APEN;0306-2619;1872-9118;0;1;0;1;1;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Applied Thermal Engineering;Elsevier; ;ATE;1359-4311;;0;8;0;1;2;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Archivos de la Sociedad Española de Oftalmología (English Edition);Elsevier; ;OFTALE;2173-5794;;0;0;0;1;0;2;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Asian Pacific Journal of Tropical Biomedicine;Elsevier; ;APJTB;2221-1691;;0;0;3;2;1;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Beni-Suef University Journal of Basic and Applied Sciences;Elsevier; ;BJBAS;2314-8535;;0;1;0;0;3;0;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
